Thread_URL,Expert_Username,Diagnostic_Quote,Normalized_Label
https://discuss.ardupilot.org/t/copter-3-5-5-rc1-available-for-beta-testing/25162,rmackay9,"Keith, There was a transmitter/receiver/RC failsafe in the log. I suspect that was what caused the RTL… A the risk of being nitpicky… the GCS almost never sends flight mode change requests, certainly it’s not responsible for failsafes. In general the only time the GCSs request flight mode changes is when the user requests “Follow-me”, “Fly to Here” or specifically hits one of the set-mode buttons (i.e. on the MP’s ac",RC_FAILSAFE
https://discuss.ardupilot.org/t/copter-4-4-0-released/105233,rmackay9,"After months of beta testing, Copter-4.4.0 has been released as the official / stable version for multicopters and helicopters. The new version can be installed using Mission Planner, QGC or you can manually download the binary from firmware.ardupilot.org . The full list of changes can be seen in the ReleaseNotes and they are copied below. As with other releases, parameters are automatically upgraded so there should ",GPS_QUALITY_POOR
https://discuss.ardupilot.org/t/crash-analysis-uncommanded-dip-in-throttle/141437,Leonardthall,It looks like your throttle input commanded the decent. Was there any chance you have an RC failsafe set that would go to minimum throttle or something like that? image 1785×915 126 KB,RC_FAILSAFE
https://discuss.ardupilot.org/t/crash-cause-analysis/35426,mboland,"For a start looking at the 13-59-41.bin you seem to have a real vibration problem so you are correct, may above expected maximums. I am more curious why it doesn’t show up in the Vibe log but the IMU are way too high and Vibe clipping started when things went south. Screen Shot 2018-11-30 at 1.43.02 pm.jpg 2521×953 565 KB The repeated switching between compasses would indicate a compass issue. Have you done a motor/c",VIBRATION_HIGH
https://discuss.ardupilot.org/t/failsafe-sbus-not-working/65942,xfacta,"Yes that’s the same as what I get. I have just bound a new receiver (during very low throttle) and Taranis is set to No Pulses. I’m using ArduCopter V4.0.5 on this quad. Arducopter realises there’s no pulses (PWM or SBUS) from the receiver and enters failsafe, same as if the throttle channel goes below the set PWM level. I have a throttle disable switch SF set to drop the throttle channel to 930 PWM or there-about. W",RC_FAILSAFE
https://discuss.ardupilot.org/t/failure-to-launch/80437,timtuxworth,"I’ve recently experienced some odd takeoff behaviour with my Bixinator. I have everything setup for auto launch in my Mission, I arm the plane and throw it and some random (apparently) percentage of the time the motor doesn’t fire and it just glides to the ground. If I reset the mission and try again, it sometimes works. Or sometimes it works the first time. I haven’t been able to figure out what I’m doing wrong. Thi",MECHANICAL_FAILURE
https://discuss.ardupilot.org/t/fixed-wing-dead-reckoning-test-of-the-zealot-h743-aero-applications-edition/101680,timtuxworth,"I plan to test dead reckoning using intertial navigation on the Qio-Tek Zealot H743 “Aero Applications Edition” which has an IIM-42652, ICM-42688P and an ADIS–16470 IMU. Also: Barometers: DPS3018 *2 Compass: QMC5883L I’ll also install an ASP-5033 Airspeed sensor (using DroneCAN of course). I know I can “disable” GPS in software, but call me cynical, I want to be 100% sure that while flying with no GPS, there is no ch",MECHANICAL_FAILURE
https://discuss.ardupilot.org/t/hexacopter-drifting-away-crash-log-video/26675,mboland,"1st mistake, arming checks disabled. 2nd mistake, not having a LARGE area to test in considering you were relying solely on guided mode without first trimming and checking flight characteristics. 3rd mistake, too close to trees - really relates to 2 but it may have contributed to your GPS glitch. Apart from that I think it was doing quite well until it hit the tree. An RC is recommended for the very reasons you exper",COMPASS_INTERFERENCE
https://discuss.ardupilot.org/t/hovering-in-loiter-rolled-into-the-ground/5575,TCIII,"@airfix4 , Here is an Auto Analysis of your bin file: Size (kb) 5893.009765625 No of lines 79764 Duration 5 days, 17:30:40 Vehicletype ArduCopter Firmware Version V3.2.1 Firmware Hash 36b405fb Hardware Type Free Mem 0 Skipped Lines 1 Test: Autotune = UNKNOWN - No ATUN log data Test: Balance/Twist = GOOD - Test: Brownout = GOOD - Test: Compass = WARN - Moderate change in mag_field (33.28%) Max mag field length (664.60",GPS_QUALITY_POOR
https://discuss.ardupilot.org/t/maiden-going-perfectly-then-sudden-flip-over/12977,peterbarker,"Sorry i don’t have time to root-cause this, but some observations: the vehicle self-assessed itself as having a broken magnetometer { ""duration"" : 2.6308739185333252, ""duration-units"" : ""seconds"", ""evilness"" : 10, ""evilness-is-deprecated"" : ""Use severity-score"", ""reason"" : ""The craft's assessment of its sensors indicate a problem"", ""sensor-name"" : ""MAG"", ""series"" : [], ""severity-score"" : 10, ""status"" : ""FAIL"", ""times",EKF_FAILURE
https://discuss.ardupilot.org/t/pixhawk-clone-2-4-8-motors-not-running-in-the-same-speed/93719,xfacta,"First thing - upgrade to latest stable firmware before doing anything else, version 3.6.8 is very old now. Select the flight controller as Pixhawk1 Next thing - don’t rush into jumping down my list to ESC calibration and and trying to arm and fly again - work through all these things in order. Put ARMING_CHECK back to 1 Also set BATT_FS_CRT_ACT,1 BATT_FS_LOW_ACT,2 MOT_PWM_MIN,1000 MOT_PWM_MAX,2000 Check your radio fa",RC_FAILSAFE
https://discuss.ardupilot.org/t/plane-4-5-0-beta-release/112518,tridge,"ArduPilotPlanePorter 750×316 48 KB We have just released plane 4.5.0-beta1. This is a major release with a huge number of changes. The most visible change for plane users in 4.5.x is that we have renamed a significant number of parameters and changed them from centimeters and centidegrees to meters and degrees. Not all centimeter and centidegree parameters have been done, only those that are specific to plane users. ",RC_FAILSAFE
https://discuss.ardupilot.org/t/plane-4-6-0-beta/126358,tridge,"Cobra1_display 1920×846 148 KB We have just released plane 4.6.0-beta1. This is a major release with a lot of changes. Please look through the list of changes below for details. There should be no need to backup and restore parameters as part of installing the release onto the flight controller. If issues appear, please report them but also feel free to downgrade back to the stable version (4.5.7). Happy flying! Boar",RC_FAILSAFE
https://discuss.ardupilot.org/t/plane-4-6-release/134619,tridge,"Cobra1_display 1920×846 148 KB After many months of development and beta testing, ArduPilot-4.6.0 has been released as the stable/official version for planes, copters, traditional helicopters, rovers, boats and antenna trackers! Thanks and congratulations to all who contributed to this momentous release including the developers, beta testers, wiki updaters, users and Partners! Warnings The LD06/LD19 360deg lidar driv",RC_FAILSAFE
