category,file_name,source_path,source_relative_path,size_bytes,sha256,duplicate_count,raw_label,mapped_label,trainable,source_type,source_url,resolved_download_url,provenance_status,expert_username,expert_quote,parse_message_count,parse_message_types
verified_unlabeled,log_0064_flyaway.bin,downloads/log_0064_flyaway.bin,downloads/log_0064_flyaway.bin,1011712,01803ce998a260eb56293a2e805ce3350a9b3d1fe00fb0a90bedc149849e611e,1,FLYAWAY,,false,ArduPilot_Discuss,https://discuss.ardupilot.org/t/rtl-flyaway-bad-pos-among-others/53951,https://discuss.ardupilot.org/uploads/short-url/yfNjMtfjpugV5ctr1CvSftmRlEF.BIN,downloaded,xfacta,"Edit: Mike Boland beat me to it There’s a large weight imbalance, heavy towards the rear. This is causing motors 1 and 3 to be doing almost nothing, while motors 2 and 4 work close to their maximum. This leaves no headroom for attitude control. Attitude wasnt great to begin with, but it gets worse as the flight goes on, the motor outputs go all over the place Z axis vibration looks a bit bad, and is usually the numbe",3000,44
verified_unlabeled,log_0029_battery_failsafe.bin,downloads/log_0029_battery_failsafe.bin,downloads/log_0029_battery_failsafe.bin,139194,0818fe7e5ce3cda47fdf3fef42cb2d02963f354b8b18750fa59edb3d0e035719,1,BATTERY_FAILSAFE,,false,ArduPilot_Discuss,https://discuss.ardupilot.org/t/pixhawk-clone-2-4-8-motors-not-running-in-the-same-speed/93719,https://discuss.ardupilot.org/uploads/short-url/7Dif4AJuMoDmXUhkloHl8MAlSW4.bin,downloaded,xfacta,"First thing - upgrade to latest stable firmware before doing anything else, version 3.6.8 is very old now. Select the flight controller as Pixhawk1 Next thing - don’t rush into jumping down my list to ESC calibration and and trying to arm and fly again - work through all these things in order. Put ARMING_CHECK back to 1 Also set BATT_FS_CRT_ACT,1 BATT_FS_LOW_ACT,2 MOT_PWM_MIN,1000 MOT_PWM_MAX,2000 Check your radio fa",3000,39
verified_unlabeled,log_0033_hardware_failure.bin,downloads/log_0033_hardware_failure.bin,downloads/log_0033_hardware_failure.bin,21426176,15deab36497ed66aba1b18194547f8b39e9b40d2cab58524a3654c4cee916521,1,HARDWARE_FAILURE,,false,ArduPilot_Discuss,https://discuss.ardupilot.org/t/failure-to-launch/80437,https://www.dropbox.com/s/cykrncm13hgnhtq/2021-12-23-1.BIN?dl=1,downloaded,timtuxworth,"I’ve recently experienced some odd takeoff behaviour with my Bixinator. I have everything setup for auto launch in my Mission, I arm the plane and throw it and some random (apparently) percentage of the time the motor doesn’t fire and it just glides to the ground. If I reset the mission and try again, it sometimes works. Or sometimes it works the first time. I haven’t been able to figure out what I’m doing wrong. Thi",3000,52
verified_labeled,log_0041_mechanical_failure.bin,downloads/log_0041_mechanical_failure.bin,downloads/log_0041_mechanical_failure.bin,958464,1796486e9ac43407765587df16a6d0fb6577cd7bee4c76b8c82ce0196075413a,1,MECHANICAL_FAILURE,mechanical_failure,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/3-6-7-installed-and-tested-drone-crashed-firmware-issue-or-battery-or-something-else-unable-to-find-out/39722,https://discuss.ardupilot.org/uploads/default/original/3X/4/2/42f32ae9f1ce3c0c09b8fb9102d210f581f4618d.bin,downloaded,,,3000,49
verified_labeled,log_0039_mechanical_failure.bin,downloads/log_0039_mechanical_failure.bin,downloads/log_0039_mechanical_failure.bin,1124580,1de0bcaf777b20c7f69c2948472c1ad5e87eb34dfe40c5bbce29d77f969acdf8,1,MECHANICAL_FAILURE,mechanical_failure,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/esc-failure-or-signal-lost-thank-s-for-help/18093,https://discuss.ardupilot.org/uploads/default/original/2X/0/03b63344fa64dee0ec39072ca06b47f34203c23b.BIN,downloaded,,,3000,40
verified_unlabeled,log_0030_battery_failsafe.bin,downloads/log_0030_battery_failsafe.bin,downloads/log_0030_battery_failsafe.bin,15912960,200022930ad7a751ae5777cda44b984019978f4847616c6fd1b19ee1872b0c93,1,BATTERY_FAILSAFE,,false,ArduPilot_Discuss,https://discuss.ardupilot.org/t/copter-3-5-5-rc1-available-for-beta-testing/25162,https://www.dropbox.com/s/6o48ttcpchowrwc/2018-01-28%2014-22-12.bin?dl=1,downloaded,rmackay9,"Keith, There was a transmitter/receiver/RC failsafe in the log. I suspect that was what caused the RTL… A the risk of being nitpicky… the GCS almost never sends flight mode change requests, certainly it’s not responsible for failsafes. In general the only time the GCSs request flight mode changes is when the user requests “Follow-me”, “Fly to Here” or specifically hits one of the set-mode buttons (i.e. on the MP’s ac",3000,50
verified_unlabeled,log_0061_flyaway.bin,downloads/log_0061_flyaway.bin,downloads/log_0061_flyaway.bin,536576,20fe2a41c6ded85bcc36efd3337de6bf53a5c0e0a8178d481f1ecc52bb38b18e,1,FLYAWAY,,false,ArduPilot_Discuss,https://discuss.ardupilot.org/t/multiple-flyaways-in-loiter-and-auto/17663,https://discuss.ardupilot.org/uploads/default/original/2X/f/f40266d37d21bf5fbd884a2df41d7493bba06501.bin,downloaded,,,3000,36
verified_unlabeled,log_0058_flyaway.bin,downloads/log_0058_flyaway.bin,downloads/log_0058_flyaway.bin,1957888,396bc7ab6056c96abab9d93d615115f58c30e36a6a373565bd26e30b34cc057e,1,FLYAWAY,,false,ArduPilot_Discuss,https://discuss.ardupilot.org/t/multiple-flyaways-in-guided-do-i-need-to-tune-the-ekf/17438,https://discuss.ardupilot.org/uploads/default/original/2X/5/5c5e9d4eb701803e566ba8cff6bba56fa5349499.bin,downloaded,,,3000,28
verified_labeled,log_0044_mechanical_failure.bin,downloads/log_0044_mechanical_failure.bin,downloads/log_0044_mechanical_failure.bin,9555968,405c8b855f571cfb58f800bb46723ff38732305f8c0e81a7d2d713feeade27bf,1,MECHANICAL_FAILURE,mechanical_failure,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/fixed-wing-dead-reckoning-test-of-the-zealot-h743-aero-applications-edition/101680,https://www.dropbox.com/s/k3wwb456zmd4454/log_69_UnknownDate.bin?dl=1,downloaded,timtuxworth,"I plan to test dead reckoning using intertial navigation on the Qio-Tek Zealot H743 “Aero Applications Edition” which has an IIM-42652, ICM-42688P and an ADIS–16470 IMU. Also: Barometers: DPS3018 *2 Compass: QMC5883L I’ll also install an ASP-5033 Airspeed sensor (using DroneCAN of course). I know I can “disable” GPS in software, but call me cynical, I want to be 100% sure that while flying with no GPS, there is no ch",3000,59
verified_unlabeled,log_0032_hardware_failure.bin,downloads/log_0032_hardware_failure.bin,downloads/log_0032_hardware_failure.bin,51604795,476a5e4c28ef03599353736a46d832d0a14193e5ea3b28246aea6bc945c529ef,1,HARDWARE_FAILURE,,false,ArduPilot_Discuss,https://discuss.ardupilot.org/t/failure-to-launch/80437,https://www.dropbox.com/s/b4ebs8bgc4wfthx/2021-12-31.BIN?dl=1,downloaded,timtuxworth,"I’ve recently experienced some odd takeoff behaviour with my Bixinator. I have everything setup for auto launch in my Mission, I arm the plane and throw it and some random (apparently) percentage of the time the motor doesn’t fire and it just glides to the ground. If I reset the mission and try again, it sometimes works. Or sometimes it works the first time. I haven’t been able to figure out what I’m doing wrong. Thi",3000,52
